source,region,comment,sentiment,category
Mystery Shopper,Central,Dirty restrooms and slow fueling process.,Negative,Signage
Mystery Shopper,North,"Everything was as expected, no surprises.",Neutral,Timeliness
Mystery Shopper,Pacific,Dirty restrooms and slow fueling process.,Negative,Signage
Mystery Shopper,Southwest,Dirty restrooms and slow fueling process.,Negative,Fuel Service
Mystery Shopper,Central,The staff was friendly and the service was fast.,Positive,Timeliness
Mystery Shopper,Southwest,Very good lighting and felt safe at night.,Positive,Cleanliness
Mystery Shopper,Pacific,"No greeting, unclear instructions from the staff.",Negative,Signage
Mystery Shopper,Southeast,Service was rude and inattentive.,Negative,Timeliness
Mystery Shopper,South,All seemed fine but nothing stood out.,Neutral,Cleanliness
Mystery Shopper,South,"Pump was clean, and directions were clear.",Positive,Staff
Mystery Shopper,Northeast,Impressed by how quickly I was served.,Positive,Staff
Mystery Shopper,Southeast,Clean station and very helpful attendants.,Positive,Cleanliness
Mystery Shopper,Southwest,No particular complaints or praise.,Neutral,Staff
Mystery Shopper,Southwest,I liked how organized the service area was.,Positive,Cleanliness
Mystery Shopper,Southwest,"Standard visit, no issues noticed.",Neutral,Staff
Mystery Shopper,Northeast,Very poor lighting and safety concerns at night.,Negative,Staff
Mystery Shopper,Pacific,"No greeting, unclear instructions from the staff.",Negative,Cleanliness
Mystery Shopper,Northeast,Impressed by how quickly I was served.,Positive,Staff
Mystery Shopper,Northeast,Impressed by how quickly I was served.,Positive,Cleanliness
Mystery Shopper,Southeast,It was just an average stop at the station.,Neutral,Signage
Mystery Shopper,South,The service was neither good nor bad.,Neutral,Staff
Mystery Shopper,Pacific,Great overall experience with clear signage.,Positive,Signage
Mystery Shopper,Southwest,Dirty restrooms and slow fueling process.,Negative,Signage
Mystery Shopper,Pacific,Very good lighting and felt safe at night.,Positive,Timeliness
Mystery Shopper,Southeast,I liked how organized the service area was.,Positive,Staff
Mystery Shopper,North,Service was rude and inattentive.,Negative,Signage
Mystery Shopper,North,"The experience was okay, nothing special.",Neutral,Cleanliness
Mystery Shopper,South,"Routine visit, nothing remarkable.",Neutral,Cleanliness
Mystery Shopper,Pacific,Appreciated the quick payment process.,Positive,Staff
